TIME;European Union - 27 countries (from 2020);Euro area - 19 countries  (from 2015);Denmark
1997-03;-12.3;-12.6;6.8
;;;
1997-04;-11.7;-11.9;7.1
;;;
1997-05;-10.5;-10.6;3.1
;;;
1997-06;-9.6;-9.7;6.0
;;;
1997-07;-9.2;-9.3;6.3
;;;
1997-08;-8.3;-8.4;6.6
;;;
1997-09;-7.6;-7.7;5.1
;;;
1997-10;-8.9;-9.0;3.4
;;;
1997-11;-8.6;-8.7;3.9
;;;
1997-12;-9.1;-9.2;4.5
;;;
1998-01;-8.0;-8.2;6.1
;;;
1998-02;-8.0;-8.0;2.4
;;;
1998-03;-6.6;-6.7;7.0
;;;
1998-04;-6.8;-6.9;6.3
;;;
1998-05;-5.2;-5.3;5.0
;;;
1998-06;-5.4;-5.4;1.8
;;;
1998-07;-3.8;-3.7;-2.3
;;;
1998-08;-4.4;-4.4;-0.6
;;;
1998-09;-4.6;-4.6;-0.4
;;;
1998-10;-4.9;-4.7;-1.9
;;;
1998-11;-4.5;-4.4;-0.5
;;;
1998-12;-5.3;-4.9;-5.9
;;;
1999-01;-3.9;-3.6;-3.0
;;;
1999-02;-4.2;-4.0;-3.5
;;;
1999-03;-5.6;-5.5;-1.4
;;;
1999-04;-6.2;-6.1;-0.3
;;;
1999-05;-5.8;-5.7;-0.6
;;;
1999-06;-5.0;-5.1;1.3
;;;
1999-07;-4.7;-4.6;2.1
;;;
1999-08;-4.3;-4.4;9.1
;;;
1999-09;-4.4;-4.5;2.8
;;;
1999-10;-3.8;-3.7;1.0
;;;
1999-11;-3.7;-3.7;0.0
;;;
1999-12;-3.6;-3.6;-0.6
;;;
2000-01;-1.8;-1.7;0.0
;;;
2000-02;-2.3;-2.2;0.3
;;;
2000-03;-2.2;-2.1;0.3
;;;
2000-04;-2.2;-2.1;3.1
;;;
2000-05;-1.1;-1.1;3.6
;;;
2000-06;-2.3;-2.3;4.5
;;;
2000-07;-1.7;-1.6;3.3
;;;
2000-08;-1.5;-1.5;3.9
;;;
2000-09;-4.7;-4.8;1.9
;;;
2000-10;-4.6;-4.8;6.9
;;;
2000-11;-4.0;-4.0;-0.3
;;;
2000-12;-3.7;-3.7;2.9
;;;
2001-01;-2.7;-2.5;2.5
;;;
2001-02;-3.9;-3.9;2.4
;;;
2001-03;-4.0;-3.9;-0.5
;;;
2001-04;-4.7;-4.6;-4.0
;;;
2001-05;-5.2;-4.6;2.0
;;;
2001-06;-5.9;-5.5;1.4
;;;
2001-07;-6.0;-5.8;10.4
;;;
2001-08;-7.1;-6.7;2.5
;;;
2001-09;-8.1;-7.7;3.5
;;;
2001-10;-8.9;-8.8;1.6
;;;
2001-11;-9.4;-9.5;2.5
;;;
2001-12;-8.5;-8.3;5.5
;;;
2002-01;-6.9;-6.8;6.3
;;;
2002-02;-7.2;-7.3;4.3
;;;
2002-03;-7.2;-7.3;4.1
;;;
2002-04;-8.3;-8.6;5.3
;;;
2002-05;-7.4;-7.6;4.4
;;;
2002-06;-8.6;-8.8;3.3
;;;
2002-07;-8.4;-8.8;3.4
;;;
2002-08;-9.8;-10.2;1.3
;;;
2002-09;-10.0;-10.6;4.0
;;;
2002-10;-11.7;-12.4;3.0
;;;
2002-11;-13.3;-14.0;1.6
;;;
2002-12;-14.5;-15.3;2.5
;;;
2003-01;-13.9;-14.7;4.1
;;;
2003-02;-14.7;-15.5;0.3
;;;
2003-03;-15.8;-16.5;-1.6
;;;
2003-04;-14.4;-14.9;0.0
;;;
2003-05;-13.1;-13.7;3.6
;;;
2003-06;-12.1;-12.7;5.9
;;;
2003-07;-12.0;-12.4;2.0
;;;
2003-08;-12.7;-13.1;4.0
;;;
2003-09;-12.6;-13.2;3.5
;;;
2003-10;-13.5;-14.0;4.5
;;;
2003-11;-13.1;-13.2;3.8
;;;
2003-12;-13.3;-13.6;3.9
;;;
2004-01;-12.3;-12.7;7.9
;;;
2004-02;-11.7;-12.0;4.9
;;;
2004-03;-11.9;-12.0;4.9
;;;
2004-04;-11.9;-12.4;10.8
;;;
2004-05;-11.3;-12.0;8.3
;;;
2004-06;-10.9;-11.6;8.3
;;;
2004-07;-11.0;-11.7;7.9
;;;
2004-08;-10.9;-11.7;7.9
;;;
2004-09;-10.8;-11.5;7.5
;;;
2004-10;-11.5;-12.3;7.1
;;;
2004-11;-12.2;-13.1;7.1
;;;
2004-12;-11.6;-12.5;7.9
;;;
2005-01;-10.0;-10.9;9.6
;;;
2005-02;-10.1;-10.9;9.3
;;;
2005-03;-10.3;-11.1;9.6
;;;
2005-04;-10.6;-11.2;8.5
;;;
2005-05;-11.3;-12.1;7.1
;;;
2005-06;-11.4;-12.2;7.1
;;;
2005-07;-11.8;-12.7;7.1
;;;
2005-08;-11.1;-11.9;9.1
;;;
2005-09;-11.8;-12.7;7.9
;;;
2005-10;-12.3;-13.3;9.6
;;;
2005-11;-12.5;-13.6;7.6
;;;
2005-12;-10.7;-11.6;8.2
;;;
2006-01;-8.5;-9.5;12.8
;;;
2006-02;-9.0;-10.0;9.7
;;;
2006-03;-9.0;-9.9;9.7
;;;
2006-04;-8.2;-8.9;9.5
;;;
2006-05;-7.9;-8.6;9.4
;;;
2006-06;-8.5;-9.1;9.0
;;;
2006-07;-8.0;-8.4;7.1
;;;
2006-08;-8.2;-8.7;8.1
;;;
2006-09;-8.1;-8.5;7.1
;;;
2006-10;-9.0;-9.6;9.2
;;;
2006-11;-8.8;-9.3;9.2
;;;
2006-12;-7.4;-7.9;7.5
;;;
2007-01;-7.4;-7.8;8.8
;;;
2007-02;-6.6;-7.2;7.9
;;;
2007-03;-6.5;-6.8;8.9
;;;
2007-04;-6.0;-6.5;8.5
;;;
2007-05;-4.3;-4.6;8.2
;;;
2007-06;-4.7;-5.0;9.7
;;;
2007-07;-4.7;-5.1;8.5
;;;
2007-08;-6.7;-7.1;8.0
;;;
2007-09;-8.3;-8.9;6.4
;;;
2007-10;-9.4;-10.1;7.4
;;;
2007-11;-11.9;-12.8;5.2
;;;
2007-12;-11.8;-12.8;3.9
;;;
2008-01;-12.8;-13.8;0.8
;;;
2008-02;-13.1;-14.0;0.5
;;;
2008-03;-13.3;-14.3;2.1
;;;
2008-04;-13.5;-14.7;0.1
;;;
2008-05;-14.2;-15.4;1.4
;;;
2008-06;-17.4;-18.7;-2.8
;;;
2008-07;-19.5;-20.9;-3.3
;;;
2008-08;-17.8;-19.3;-4.4
;;;
2008-09;-16.7;-18.2;-4.0
;;;
2008-10;-20.3;-21.8;-5.9
;;;
2008-11;-20.4;-21.6;0.3
;;;
2008-12;-21.4;-22.7;0.2
;;;
2009-01;-20.3;-21.3;0.2
;;;
2009-02;-21.7;-22.4;0.2
;;;
2009-03;-21.9;-22.6;0.3
;;;
2009-04;-19.3;-19.8;3.7
;;;
2009-05;-17.1;-17.9;7.0
;;;
2009-06;-15.8;-16.4;4.5
;;;
2009-07;-14.7;-15.0;6.7
;;;
2009-08;-13.4;-13.9;5.2
;;;
2009-09;-12.2;-12.4;6.4
;;;
2009-10;-12.3;-12.5;5.4
;;;
2009-11;-12.4;-12.6;3.9
;;;
2009-12;-11.9;-12.1;4.7
;;;
2010-01;-11.6;-11.8;7.1
;;;
2010-02;-13.3;-13.8;7.4
;;;
2010-03;-13.6;-14.3;6.0
;;;
2010-04;-12.1;-12.7;8.6
;;;
2010-05;-14.6;-15.3;7.6
;;;
2010-06;-15.1;-15.8;3.9
;;;
2010-07;-13.4;-14.0;7.9
;;;
2010-08;-11.6;-11.9;5.7
;;;
2010-09;-11.7;-11.9;5.4
;;;
2010-10;-13.2;-13.5;4.5
;;;
2010-11;-12.2;-12.4;5.7
;;;
2010-12;-13.3;-13.5;3.9
;;;
2011-01;-13.0;-13.4;4.5
;;;
2011-02;-12.7;-12.9;3.3
;;;
2011-03;-13.9;-13.8;3.3
;;;
2011-04;-14.5;-14.5;4.7
;;;
2011-05;-13.7;-13.9;5.3
;;;
2011-06;-13.1;-13.1;5.6
;;;
2011-07;-13.3;-13.4;2.9
;;;
2011-08;-16.0;-16.3;-0.2
;;;
2011-09;-16.8;-17.2;2.1
;;;
2011-10;-18.9;-19.5;-2.8
;;;
2011-11;-18.5;-18.7;-6.3
;;;
2011-12;-19.4;-19.5;-5.0
;;;
2012-01;-18.5;-18.8;-2.8
;;;
2012-02;-17.8;-18.1;-1.1
;;;
2012-03;-17.0;-17.2;2.6
;;;
2012-04;-17.5;-17.9;3.1
;;;
2012-05;-17.3;-17.7;1.2
;;;
2012-06;-17.1;-17.4;0.5
;;;
2012-07;-17.4;-18.0;3.0
;;;
2012-08;-18.3;-19.0;1.4
;;;
2012-09;-20.1;-20.8;1.1
;;;
2012-10;-20.9;-21.4;-1.7
;;;
2012-11;-21.1;-21.8;2.2
;;;
2012-12;-21.7;-22.4;-0.6
;;;
2013-01;-19.0;-19.7;-0.2
;;;
2013-02;-18.7;-19.4;1.8
;;;
2013-03;-18.8;-19.6;1.3
;;;
2013-04;-17.8;-18.5;1.9
;;;
2013-05;-17.9;-18.6;1.3
;;;
2013-06;-16.6;-17.4;5.5
;;;
2013-07;-16.0;-16.9;4.3
;;;
2013-08;-15.0;-15.8;5.5
;;;
2013-09;-13.5;-14.3;5.6
;;;
2013-10;-15.2;-15.9;5.9
;;;
2013-11;-14.6;-15.4;4.3
;;;
2013-12;-14.0;-14.8;4.6
;;;
2014-01;-12.2;-12.8;6.5
;;;
2014-02;-12.1;-12.7;4.1
;;;
2014-03;-11.0;-11.6;5.1
;;;
2014-04;-10.7;-11.2;4.7
;;;
2014-05;-9.6;-10.2;6.9
;;;
2014-06;-9.2;-9.9;8.9
;;;
2014-07;-9.6;-10.2;10.3
;;;
2014-08;-11.0;-11.9;10.2
;;;
2014-09;-11.9;-12.7;6.6
;;;
2014-10;-12.2;-13.2;7.7
;;;
2014-11;-12.5;-13.5;6.0
;;;
2014-12;-11.7;-12.7;7.5
;;;
2015-01;-9.4;-10.1;8.5
;;;
2015-02;-7.5;-7.9;8.0
;;;
2015-03;-6.2;-6.6;11.4
;;;
2015-04;-6.0;-6.5;11.0
;;;
2015-05;-6.3;-6.8;10.5
;;;
2015-06;-6.5;-6.9;8.6
;;;
2015-07;-7.8;-8.3;8.5
;;;
2015-08;-7.2;-7.8;7.4
;;;
2015-09;-7.6;-7.9;4.1
;;;
2015-10;-8.2;-8.8;3.5
;;;
2015-11;-7.6;-8.1;5.0
;;;
2015-12;-6.8;-7.3;5.4
;;;
2016-01;-6.1;-6.6;2.9
;;;
2016-02;-7.2;-7.7;3.5
;;;
2016-03;-8.1;-8.8;2.7
;;;
2016-04;-7.3;-8.0;5.3
;;;
2016-05;-7.1;-7.8;3.8
;;;
2016-06;-6.4;-7.0;4.9
;;;
2016-07;-7.1;-7.8;3.5
;;;
2016-08;-7.4;-8.1;4.1
;;;
2016-09;-7.6;-8.4;2.2
;;;
2016-10;-7.7;-8.6;1.6
;;;
2016-11;-7.1;-7.9;1.2
;;;
2016-12;-6.7;-7.3;-0.9
;;;
2017-01;-5.3;-6.1;4.4
;;;
2017-02;-6.7;-7.6;5.2
;;;
2017-03;-5.8;-6.7;5.9
;;;
2017-04;-5.1;-5.7;7.1
;;;
2017-05;-4.5;-5.1;5.5
;;;
2017-06;-3.3;-3.7;6.2
;;;
2017-07;-3.5;-3.9;9.1
;;;
2017-08;-3.6;-4.1;6.1
;;;
2017-09;-3.6;-4.3;6.6
;;;
2017-10;-4.0;-4.5;7.3
;;;
2017-11;-3.8;-4.3;7.6
;;;
2017-12;-3.2;-3.5;5.9
;;;
2018-01;-2.3;-2.7;7.7
;;;
2018-02;-3.2;-3.7;8.1
;;;
2018-03;-3.8;-4.3;7.0
;;;
2018-04;-3.3;-3.9;5.0
;;;
2018-05;-3.8;-4.5;7.4
;;;
2018-06;-3.3;-3.9;8.8
;;;
2018-07;-3.7;-4.4;9.1
;;;
2018-08;-4.5;-5.0;5.2
;;;
2018-09;-5.2;-6.1;6.3
;;;
2018-10;-5.8;-6.4;3.8
;;;
2018-11;-6.4;-7.1;4.2
;;;
2018-12;-7.6;-8.4;2.5
;;;
2019-01;-6.0;-6.6;3.3
;;;
2019-02;-6.0;-6.8;2.8
;;;
2019-03;-5.6;-6.3;4.3
;;;
2019-04;-5.9;-6.6;3.8
;;;
2019-05;-4.9;-5.5;7.4
;;;
2019-06;-4.8;-5.7;6.4
;;;
2019-07;-4.8;-5.6;2.1
;;;
2019-08;-5.9;-6.8;6.0
;;;
2019-09;-5.8;-6.7;3.5
;;;
2019-10;-7.5;-8.3;2.1
;;;
2019-11;-7.0;-7.8;2.9
;;;
2019-12;-7.7;-8.7;3.4
;;;
2020-01;-6.4;-7.3;4.0
;;;
2020-02;-5.8;-6.4;4.6
;;;
2020-03;-11.2;-12.5;-0.1
;;;
2020-04;-24.6;-24.4;-6.8
;;;
2020-05;-20.4;-19.5;-1.1
;;;
2020-06;-14.2;-13.2;3.9
;;;
2020-07;-14.3;-13.7;3.2
;;;
2020-08;-14.4;-13.7;0.5
;;;
2020-09;-13.6;-12.7;0.8
;;;
2020-10;-16.3;-15.5;0.8
;;;
2020-11;-18.5;-17.8;-1.3
;;;
2020-12;-14.1;-13.1;2.5
;;;
